ts_open,ts_close,symbol,side,entry,exit,qty,pnl,exit_type,entry_reason
1738737480000,1738754040000,BTCUSDT,SHORT,97720.0,98061.03568588514,0.0771,-37.61488977028096,TSL,donchian_breakout
1738807320000,1738852260000,BTCUSDT,LONG,97250.23,98067.3358923325,0.0747,50.09514352812009,TSL,donchian_breakout
1738861080000,1738882500000,BTCUSDT,SHORT,96420.01,96765.34081013125,0.056100000000000004,-27.501332083699836,TSL,donchian_breakout
1738884300000,1738893120000,BTCUSDT,SHORT,96486.76,97416.97205514967,0.0995,-107.02616549200843,TSL,donchian_breakout
1738943460000,1738954860000,BTCUSDT,LONG,99097.18,97646.49587919499,0.033100000000000004,-52.901806152346616,TSL,donchian_breakout
1738984320000,1738989600000,BTCUSDT,LONG,96876.29,96398.4869954321,0.1032,-64.26873781085266,TSL,donchian_breakout
1738995660000,1738998060000,BTCUSDT,SHORT,96068.02,96068.02,0.10400000000000001,-14.986611120000003,BE,donchian_breakout
1739001180000,1739004840000,BTCUSDT,LONG,96300.0,95901.74542398493,0.1038,-56.301730871621274,TSL,donchian_breakout
1739055780000,1739058900000,BTCUSDT,LONG,96506.18,96506.18,0.10360000000000001,-14.997060372,BE,donchian_breakout
1739095200000,1739098800000,BTCUSDT,SHORT,96868.73,96962.69668299849,0.1032,-24.69991411070852,TSL,donchian_breakout
1739100720000,1739103540000,BTCUSDT,SHORT,96702.69,96702.69,0.1034,-14.998587219000001,BE,donchian_breakout
1739132580000,1739134320000,BTCUSDT,LONG,96276.67,96276.67,0.1038,-14.990277519000001,BE,donchian_breakout
1739140440000,1739151600000,BTCUSDT,LONG,95776.13,96088.54776573481,0.0616,10.380786256487013,TSL,donchian_breakout
1739161860000,1739167020000,BTCUSDT,LONG,97118.35,97118.35,0.1017,-14.8154042925,BE,donchian_breakout
1739169180000,1739190720000,BTCUSDT,LONG,97175.83,97427.00439349478,0.0959,10.09081547239667,TSL,donchian_breakout
1739203860000,1739222160000,BTCUSDT,LONG,97353.36,97200.9529965763,0.07150000000000001,-21.330075779235514,TSL,donchian_breakout
1739231760000,1739244840000,BTCUSDT,LONG,97409.78,97514.93665864861,0.10260000000000001,-4.2103837695351,TSL,donchian_breakout
1739308680000,1739313300000,BTCUSDT,LONG,95575.16,95760.17927729228,0.0604,2.507673479192049,TSL,donchian_breakout
1739318400000,1739325000000,BTCUSDT,SHORT,95696.1,96262.27234189425,0.1044,-74.13873304812918,SL,donchian_breakout
1739332320000,1739339580000,BTCUSDT,SHORT,95418.26,95647.79502878526,0.1048,-39.07306294195813,TSL,donchian_breakout
1739344620000,1739356920000,BTCUSDT,LONG,95941.9,96213.2161654918,0.1042,13.25422211591317,TSL,donchian_breakout
1739370600000,1739379300000,BTCUSDT,SHORT,94515.97,96650.56294063594,0.0379,-86.33498114893955,TSL,donchian_breakout
1739389080000,1739414400000,BTCUSDT,LONG,96956.54,97603.29617593683,0.0683,34.207119208373804,TSL,donchian_breakout
1739451420000,1739457360000,BTCUSDT,SHORT,95786.63,95786.63,0.1043,-14.9858182635,BE,donchian_breakout
1739463900000,1739481000000,BTCUSDT,SHORT,95481.38,96522.43170052643,0.049100000000000005,-58.186178861719426,TSL,donchian_breakout
1739489940000,1739496840000,BTCUSDT,LONG,96517.48,96517.48,0.10360000000000001,-14.998816392000002,BE,donchian_breakout
1739518140000,1739534520000,BTCUSDT,LONG,97031.12,96794.07587448433,0.10300000000000001,-39.38854130941711,TSL,donchian_breakout
1739575560000,1739590500000,BTCUSDT,LONG,97367.3,97714.53003432743,0.1027,20.634346567032534,TSL,donchian_breakout
1739595720000,1739600520000,BTCUSDT,SHORT,97452.93,97655.41228560172,0.10260000000000001,-35.78826944161427,TSL,donchian_breakout
1739651940000,1739656980000,BTCUSDT,SHORT,97482.32,97686.773313135,0.10250000000000001,-35.96008864478363,TSL,donchian_breakout
1739710920000,1739711460000,BTCUSDT,SHORT,97090.32,97090.32,0.1029,-14.985890892,BE,donchian_breakout
1739723220000,1739727300000,BTCUSDT,LONG,97080.0,96972.80693556649,0.10300000000000001,-26.031464972423834,TSL,donchian_breakout
1739728440000,1739731740000,BTCUSDT,SHORT,96955.36,96955.36,0.10310000000000001,-14.994146424000002,BE,donchian_breakout
1739761740000,1739764440000,BTCUSDT,SHORT,96133.3,96254.65694868495,0.10400000000000001,-27.627383305231675,TSL,donchian_breakout
1739800920000,1739806260000,BTCUSDT,LONG,96451.13,96281.3850730252,0.10360000000000001,-32.56089085576367,TSL,donchian_breakout
1739810460000,1739823900000,BTCUSDT,SHORT,95371.83,95845.57741217906,0.0674,-41.596615525554185,TSL,donchian_breakout
1739835900000,1739843460000,BTCUSDT,SHORT,95727.27,96225.3117276756,0.1044,-67.02544351860867,TSL,donchian_breakout
1739855640000,1739872620000,BTCUSDT,SHORT,95944.32,95684.93032825606,0.1042,12.052577882566304,TSL,donchian_breakout
1739882040000,1739889360000,BTCUSDT,LONG,96028.7,96028.7,0.1041,-14.994881504999999,BE,donchian_breakout
1739917080000,1739927700000,BTCUSDT,LONG,95130.58,95130.58,0.0664,-9.475005768,BE,donchian_breakout
1739933040000,1739939820000,BTCUSDT,LONG,95721.11,95540.22582138679,0.1044,-33.860070842033785,TSL,donchian_breakout
1739958240000,1739969940000,BTCUSDT,LONG,95870.68,96140.14642449164,0.1043,13.085301177423172,TSL,donchian_breakout
1739984520000,1739992260000,BTCUSDT,LONG,96377.44,95446.34972364458,0.0873,-93.84384375798366,TSL,donchian_breakout
1740006000000,1740006060000,BTCUSDT,LONG,96571.78,96571.78,0.10350000000000001,-14.992768845000002,BE,donchian_breakout
1740016740000,1740030660000,BTCUSDT,LONG,96767.67,96986.91172091378,0.1033,7.636533551565514,TSL,donchian_breakout
1740035160000,1740037020000,BTCUSDT,SHORT,96821.0,97067.93632844125,0.1032,-40.490832766958746,TSL,donchian_breakout
1740047940000,1740058740000,BTCUSDT,LONG,97289.21,97289.21,0.1027,-14.987402800500002,BE,donchian_breakout
1740086700000,1740094500000,BTCUSDT,SHORT,98188.67,98452.84448536675,0.1018,-41.906542241292684,TSL,donchian_breakout
1740115980000,1740123360000,BTCUSDT,LONG,98316.42,98316.42,0.1017,-14.998169870999998,BE,donchian_breakout
1740163800000,1740178500000,BTCUSDT,SHORT,96718.18,95776.35348698763,0.045200000000000004,36.044993702949874,TSL,donchian_breakout
1740180060000,1740184080000,BTCUSDT,LONG,95943.01,95851.81127484918,0.1042,-24.491672443343948,TSL,donchian_breakout
1740199200000,1740206520000,BTCUSDT,LONG,96462.49,96337.21556694424,0.10360000000000001,-27.958968387128476,TSL,donchian_breakout
1740208020000,1740211080000,BTCUSDT,LONG,96489.72,96329.24765277935,0.10360000000000001,-31.606968958680643,TSL,donchian_breakout
1740217560000,1740232500000,BTCUSDT,LONG,96430.01,96552.4495553036,0.1037,-2.3122289069303053,TSL,donchian_breakout
1740247800000,1740250440000,BTCUSDT,LONG,96720.07,96488.4764064405,0.1033,-38.89245034753578,TSL,donchian_breakout
1740253020000,1740254760000,BTCUSDT,LONG,96630.4,96544.60046760904,0.1034,-23.852392935487963,TSL,donchian_breakout
1740258300000,1740261420000,BTCUSDT,SHORT,96528.03,96673.10980980896,0.10350000000000001,-30.012998792963586,TSL,donchian_breakout
1740263640000,1740264180000,BTCUSDT,SHORT,96623.28,96623.28,0.1034,-14.986270728000001,BE,donchian_breakout
1740285900000,1740289500000,BTCUSDT,SHORT,96416.25,96247.23740217942,0.1037,2.5422036612892276,TP,donchian_breakout
